Treatment,ID,Status,Time from start,Time from meta exposure,Time from schisto,Schisto inf.,Schisto fact,Meta inf.,Meta fact,Total inf.,Total fact,Metas
E3,E3.18,1,74,66,NA,NA,ap,0,ap,NA,ap,0
E3,E3.19,1,74,66,NA,NA,ap,0,ap,NA,ap,0
E3,E3.20,1,74,66,NA,NA,ap,1,p,NA,onem,3
S,S1,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S2,2,55,NA,51,1,p,NA,ap,NA,ones,NA
S,S3,2,10,NA,6,0,ap,NA,ap,NA,ap,NA
S,S4,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S5,2,27,NA,23,0,ap,NA,ap,NA,ap,NA
S,S6,2,33,NA,29,0,ap,NA,ap,NA,ap,NA
S,S7,2,62,NA,58,1,p,NA,ap,NA,ones,NA
S,S8,2,30,NA,26,0,ap,NA,ap,NA,ap,NA
S,S9,2,52,NA,48,1,p,NA,ap,NA,ones,NA
S,S10,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S11,1,73,NA,69,1,p,NA,ap,NA,ones,NA
S,S12,1,74,NA,70,1,p,NA,ap,NA,ones,NA
S,S13,2,2,NA,NA,0,ap,NA,ap,NA,ap,NA
S,S14,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S15,1,74,NA,70,1,p,NA,ap,NA,ones,NA
S,S16,2,69,NA,65,1,p,NA,ap,NA,ones,NA
S,S17,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S18,1,74,NA,70,1,p,NA,ap,NA,ones,NA
S,S19,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S20,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S21,2,47,NA,43,1,p,NA,ap,NA,ones,NA
S,S22,1,74,NA,70,1,p,NA,ap,NA,ones,NA
S,S23,2,61,NA,57,1,p,NA,ap,NA,ones,NA
S,S24,1,74,NA,70,1,p,NA,ap,NA,ones,NA
S,S25,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S26,2,52,NA,48,1,p,NA,ap,NA,ones,NA
S,S27,2,12,NA,8,1,p,NA,ap,NA,ones,NA
S,S28,1,73,NA,69,1,p,NA,ap,NA,ones,NA
S,S29,2,26,NA,22,0,ap,NA,ap,NA,ap,NA
S,S30,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S31,1,74,NA,70,1,p,NA,ap,NA,ones,NA
S,S32,2,70,NA,66,0,ap,NA,ap,NA,ap,NA
S,S33,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S34,1,74,NA,70,1,p,NA,ap,NA,ones,NA
S,S35,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S36,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
S,S37,2,53,NA,49,0,ap,NA,ap,NA,ap,NA
S,S38,2,41,NA,37,1,p,NA,ap,NA,ones,NA
S,S39,2,7,NA,3,0,ap,NA,ap,NA,ap,NA
S,S40,1,74,NA,70,0,ap,NA,ap,NA,ap,NA
T1,T1.1,1,74,74,70,1,p,1,p,1,p,1
T1,T1.2,2,14,14,10,0,ap,1,p,0,onem,6
T1,T1.3,1,74,74,70,0,ap,1,p,0,onem,3
T1,T1.4,1,74,74,70,0,ap,1,p,0,onem,2
T1,T1.5,2,20,20,16,0,ap,1,p,0,onem,4
T1,T1.6,1,74,74,70,0,ap,1,p,0,onem,2
T1,T1.7,1,74,74,70,0,ap,1,p,0,onem,3
T1,T1.8,1,74,74,70,1,p,1,p,1,p,2
T1,T1.9,1,74,74,70,1,p,1,p,1,p,1
T1,T1.10,2,67,67,63,0,ap,1,p,0,onem,2
T1,T1.11,2,7,7,3,0,ap,1,p,0,onem,4
T1,T1.12,1,74,74,70,0,ap,1,p,0,onem,1
T1,T1.13,2,60,60,56,1,p,0,ap,0,ones,0
T1,T1.14,1,74,74,70,0,ap,1,p,0,onem,3
T1,T1.15,1,74,74,70,0,ap,1,p,0,onem,2
T1,T1.16,1,74,74,70,0,ap,1,p,0,onem,1
T1,T1.17,2,7,7,3,0,ap,1,p,0,onem,5
T1,T1.18,1,74,74,70,0,ap,0,ap,0,ap,0
T1,T1.19,1,74,74,70,1,p,0,ap,0,ones,0
T1,T1.20,1,74,74,70,0,ap,0,ap,0,ap,0
T1,T1.21,1,74,74,70,0,ap,0,ap,0,ap,0
T1,T1.22,1,74,74,70,1,p,1,p,1,p,1
T1,T1.23,1,74,74,70,0,ap,0,ap,0,ap,0
T1,T1.24,1,74,74,70,0,ap,1,p,0,onem,3
T1,T1.25,2,47,47,43,1,p,1,p,1,p,6
T1,T1.26,2,19,19,15,0,ap,1,p,0,onem,5
T1,T1.27,1,74,74,70,0,ap,0,ap,0,ap,0
T1,T1.28,2,67,67,63,1,p,1,p,1,p,4
T1,T1.29,1,74,74,70,0,ap,0,ap,0,ap,0
T1,T1.30,1,74,74,70,0,ap,0,ap,0,ap,0
T1,T1.32,1,74,74,70,1,p,1,p,1,p,2
T1,T1.33,2,14,14,10,0,ap,1,p,0,onem,3
T1,T1.34,2,55,55,51,0,ap,1,p,0,onem,2
T1,T1.35,1,74,74,70,0,ap,0,ap,0,ap,0
T1,T1.36,2,53,53,49,1,p,1,p,1,p,2
T1,T1.37,2,70,70,66,1,p,1,p,1,p,1
T1,T1.38,1,74,74,70,0,ap,0,ap,0,ap,0
T1,T1.39,1,74,74,70,0,ap,1,p,0,onem,1
T1,T1.40,1,74,74,70,0,ap,1,p,0,onem,3
T2,T2.1,1,74,70,70,1,p,0,ap,0,ones,0
T2,T2.2,1,74,70,70,0,ap,0,ap,0,ap,0
T2,T2.3,2,45,41,41,1,p,1,p,1,p,1
T2,T2.4,1,74,70,70,1,p,1,p,1,p,2
T2,T2.5,2,11,7,7,0,ap,1,p,0,onem,3
T2,T2.6,2,18,14,14,0,ap,0,ap,0,ap,0
T2,T2.7,1,74,70,70,0,ap,1,p,0,onem,3
T2,T2.8,2,31,27,27,0,ap,1,p,0,onem,2
T2,T2.9,2,11,7,7,0,ap,1,p,0,onem,3
T2,T2.10,2,59,55,55,1,p,1,p,1,p,3
T2,T2.11,1,74,70,70,1,p,1,p,1,p,3
T2,T2.13,1,74,70,70,0,ap,0,ap,0,ap,0
T2,T2.14,2,27,23,23,0,ap,1,p,0,onem,3
T2,T2.15,2,71,67,67,1,p,1,p,1,p,1
T2,T2.16,1,74,70,70,0,ap,1,p,0,onem,1
T2,T2.17,2,21,17,17,0,ap,1,p,0,onem,6
T2,T2.18,2,68,64,64,1,p,0,ap,0,ones,0
T2,T2.19,1,74,70,70,0,ap,1,p,0,onem,2
T2,T2.20,1,74,70,70,0,ap,0,ap,0,ap,0
T2,T2.21,2,33,29,29,0,ap,1,p,0,onem,3
T2,T2.22,1,74,70,70,0,ap,1,p,0,onem,2
T2,T2.23,1,74,70,70,0,ap,1,p,0,onem,1
T2,T2.25,2,7,3,3,0,ap,0,ap,0,ap,0
T2,T2.26,2,7,3,3,0,ap,0,ap,0,ap,0
T2,T2.27,1,74,70,70,0,ap,1,p,0,onem,1
T2,T2.28,1,74,70,70,1,p,0,ap,0,ones,0
T2,T2.29,2,70,66,66,1,p,1,p,1,p,3
T2,T2.30,1,74,70,70,1,p,1,p,1,p,2
T2,T2.31,1,74,70,70,0,ap,1,p,0,onem,1
T2,T2.32,1,74,70,70,0,ap,1,p,0,onem,3
T2,T2.33,2,68,64,64,1,p,0,ap,0,ones,0
T2,T2.34,1,74,70,70,1,p,0,ap,0,ones,0
T2,T2.35,1,74,70,70,0,ap,0,ap,0,ap,0
T2,T2.36,1,74,70,70,0,ap,0,ap,0,ap,0
T2,T2.37,2,5,1,1,0,ap,0,ap,0,ap,0
T2,T2.38,1,74,70,70,0,ap,0,ap,0,ap,0
T2,T2.39,2,23,19,19,0,ap,1,p,0,onem,7
T2,T2.40,2,41,37,37,1,p,1,p,1,p,3
T3,T3.1,1,74,66,70,1,p,1,p,1,p,2
T3,T3.2,1,74,66,70,0,ap,0,ap,0,ap,0
T3,T3.3,1,74,66,70,1,p,0,ap,0,ones,0
T3,T3.4,1,74,66,70,1,p,1,p,1,p,2
T3,T3.5,1,74,66,70,0,ap,1,p,0,onem,1
T3,T3.6,2,19,11,15,0,ap,1,p,0,onem,4
T3,T3.7,2,7,NA,3,0,ap,0,ap,0,ap,0
T3,T3.8,2,64,56,60,1,p,1,p,1,p,1
T3,T3.9,1,74,66,70,1,p,1,p,1,p,3
T3,T3.10,2,25,17,21,0,ap,1,p,0,onem,1
T3,T3.11,2,20,12,16,0,ap,1,p,0,onem,4
T3,T3.12,2,67,59,63,1,p,0,ap,0,ones,0
T3,T3.13,2,38,30,34,1,p,1,p,1,p,3
T3,T3.14,1,74,66,70,0,ap,1,p,0,onem,2
T3,T3.15,1,74,66,70,0,ap,1,p,0,onem,1
T3,T3.16,1,74,66,70,0,ap,1,p,0,onem,2
T3,T3.17,1,74,66,70,0,ap,1,p,0,onem,1
T3,T3.18,2,11,3,7,0,ap,1,p,0,onem,4
T3,T3.19,1,74,66,70,1,p,0,ap,0,ones,0
T3,T3.20,2,22,14,18,0,ap,1,p,0,onem,1
T3,T3.21,1,74,66,70,0,ap,1,p,0,onem,3
T3,T3.22,2,60,52,56,1,p,1,p,1,p,2
T3,T3.23,1,74,66,70,1,p,1,p,1,p,2
T3,T3.24,1,74,66,70,1,p,0,ap,0,ones,0
T3,T3.25,2,64,56,60,1,p,1,p,1,p,3
T3,T3.26,2,34,26,30,0,ap,1,p,0,onem,4
T3,T3.27,2,55,47,51,1,p,1,p,1,p,3
T3,T3.28,1,74,66,70,1,p,0,ap,0,ones,0
T3,T3.29,2,53,45,49,1,p,1,p,1,p,8
T3,T3.30,2,19,11,15,0,ap,1,p,0,onem,4
T3,T3.33,1,74,66,70,0,ap,1,p,0,onem,1
T3,T3.34,1,74,66,70,1,p,1,p,1,p,2
T3,T3.35,1,74,66,70,1,p,1,p,1,p,1
T3,T3.36,1,74,66,70,1,p,1,p,1,p,1
T3,T3.37,2,49,41,45,1,p,1,p,1,p,1
T3,T3.38,2,7,NA,3,0,ap,0,ap,0,ap,0
T3,T3.39,2,54,46,50,1,p,1,p,1,p,1
T3,T3.40,1,74,66,70,0,ap,1,p,0,onem,2
